experiment,epoch,protocol,gt,predictions_at_score_0_1,tp_at_2m,false_positive_at_2m,false_negative_at_2m,gt_recall_at_2m,precision_at_2m,matched_center_error,matched_velocity_error,recover_candidates,recover_gt_matches,recover_gt_match_rate,recover_memory_writes,false_memory_writes,false_memory_write_rate,recover_match_center_error,conservation_residual_abs_max,conservation_violation_count,unsupported_growth_count,source_mass_violation_count,recovery_delay,recovered_scenes,unrecovered_scenes,per_class_ap_json,distance_ap_json
B0,1,clean_no_corruption,4441,7014,3356,3658,1085,0.7556856563836973,0.478471628172227,0.5177797548375682,0.17899074331539006,0,0,nan,0,0,nan,nan,0.0,0,0,0,nan,0,0,"{""barrier"": 0.0, ""bicycle"": 0.2324731069036616, ""bus"": 0.6011425782247526, ""car"": 0.7300138915174431, ""construction_vehicle"": 0.0, ""motorcycle"": 0.5936674332927454, ""pedestrian"": 0.578680028012111, ""traffic_cone"": 0.7302469742525769, ""trailer"": 0.0, ""truck"": 0.79719801484899}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.05664686991750856, ""1.0"": 0.16506896361687676, ""2.0"": 0.3496180923401148, ""4.0"": 0.35855850174014625}, ""bus"": {""0.5"": 0.03335054402527742, ""1.0"": 0.6857914385399893, ""2.0"": 0.6857914385399893, ""4.0"": 0.9996368917937548}, ""car"": {""0.5"": 0.45099953776488544, ""1.0"": 0.7132838919460863, ""2.0"": 0.855984059786905, ""4.0"": 0.8997880765718955}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.25527746297069087, ""1.0"": 0.5799507373193221, ""2.0"": 0.7387796885466372, ""4.0"": 0.8006618443343316}, ""pedestrian"": {""0.5"": 0.18457912468588394, ""1.0"": 0.5011844150677356, ""2.0"": 0.7735778196876332, ""4.0"": 0.8553787526071917}, ""traffic_cone"": {""0.5"": 0.44887307903446, ""1.0"": 0.8163409035038544, ""2.0"": 0.8278869572359966, ""4.0"": 0.8278869572359966}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6384196108901095, ""1.0"": 0.8327005108841562, ""2.0"": 0.8525262687266741, ""4.0"": 0.86514566889502}}"
B0,1,camera_crash_back_5f,4441,7018,3349,3669,1092,0.7541094348119792,0.4772014819036763,0.5210138248648116,0.17942165412936548,0,0,nan,0,0,nan,nan,0.0,0,0,0,0.0,2,0,"{""barrier"": 0.0, ""bicycle"": 0.2549926269218509, ""bus"": 0.47330519511793834, ""car"": 0.7255691392362807, ""construction_vehicle"": 0.0, ""motorcycle"": 0.6234905689801834, ""pedestrian"": 0.5690067486388704, ""traffic_cone"": 0.7292031525398103, ""trailer"": 0.0, ""truck"": 0.7816915825163511}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06530463650150405, ""1.0"": 0.17678885636026834, ""2.0"": 0.38434887152384645, ""4.0"": 0.39352814330178476}, ""bus"": {""0.5"": 0.043612458972692884, ""1.0"": 0.30870778481342936, ""2.0"": 0.5416060040577648, ""4.0"": 0.9992945326278662}, ""car"": {""0.5"": 0.44399287088884254, ""1.0"": 0.7120620280637756, ""2.0"": 0.848202889587658, ""4.0"": 0.8980187684048467}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.27208596759054055, ""1.0"": 0.6455235292860397, ""2.0"": 0.7580531016423954, ""4.0"": 0.818299677401758}, ""pedestrian"": {""0.5"": 0.16300140468185512, ""1.0"": 0.49426509751227804, ""2.0"": 0.7733179468922937, ""4.0"": 0.8454425454690545}, ""traffic_cone"": {""0.5"": 0.4811930073470286, ""1.0"": 0.7950610405877943, ""2.0"": 0.8189827565524902, ""4.0"": 0.8215758056719281}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6126665182107687, ""1.0"": 0.800015994248469, ""2.0"": 0.852956446203711, ""4.0"": 0.8611273714024557}}"
B0,1,camera_crash_back_10f,4441,7054,3345,3709,1096,0.7532087367709975,0.4741990360079388,0.5223945677648958,0.18660966555850422,0,0,nan,0,0,nan,nan,0.0,0,0,0,0.0,2,0,"{""barrier"": 0.0, ""bicycle"": 0.26543237581506585, ""bus"": 0.40933351849504634, ""car"": 0.7278513541225127, ""construction_vehicle"": 0.0, ""motorcycle"": 0.6329632105280959, ""pedestrian"": 0.5604860553485795, ""traffic_cone"": 0.750275107317139, ""trailer"": 0.0, ""truck"": 0.7855202638071375}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06742084402196774, ""1.0"": 0.18271775701888898, ""2.0"": 0.400899362625396, ""4.0"": 0.4106915395940106}, ""bus"": {""0.5"": 0.036977891071458324, ""1.0"": 0.37218554054555236, ""2.0"": 0.42285020913413024, ""4.0"": 0.8053204332290445}, ""car"": {""0.5"": 0.4497374971566369, ""1.0"": 0.7121939018977542, ""2.0"": 0.8533897329879602, ""4.0"": 0.8960842844476994}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.2764672406841185, ""1.0"": 0.6367328640269775, ""2.0"": 0.7797742902307508, ""4.0"": 0.8388784471705368}, ""pedestrian"": {""0.5"": 0.16665442497641522, ""1.0"": 0.47087312968427886, ""2.0"": 0.7646641907448521, ""4.0"": 0.8397524759887716}, ""traffic_cone"": {""0.5"": 0.5666781407297685, ""1.0"": 0.7946928091899313, ""2.0"": 0.8190340337243561, ""4.0"": 0.8206954456244999}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6222681528451793, ""1.0"": 0.7941367321141083, ""2.0"": 0.8584490977422348, ""4.0"": 0.8672270725270277}}"
B0,1,compound_fog_crash_10f,4441,7078,3282,3796,1159,0.7390227426255348,0.4636903079966092,0.536013909417223,0.18920847516613562,0,0,nan,0,0,nan,nan,0.0,0,0,0,0.0,2,0,"{""barrier"": 0.0, ""bicycle"": 0.25531058434143533, ""bus"": 0.40697270040129424, ""car"": 0.7041674815296836, ""construction_vehicle"": 0.0, ""motorcycle"": 0.48578338724794784, ""pedestrian"": 0.5511341939952319, ""traffic_cone"": 0.6701194418931993, ""trailer"": 0.0, ""truck"": 0.7808686905946175}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06780110471191159, ""1.0"": 0.17358626335531124, ""2.0"": 0.3838101559021895, ""4.0"": 0.39604481339632897}, ""bus"": {""0.5"": 0.038140370567271153, ""1.0"": 0.3682983391800902, ""2.0"": 0.4185424138698132, ""4.0"": 0.8029096779880024}, ""car"": {""0.5"": 0.40636973546007815, ""1.0"": 0.6828344417251636, ""2.0"": 0.8356321685591726, ""4.0"": 0.8918335803743199}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.19696519633702958, ""1.0"": 0.41084987968583997, ""2.0"": 0.603102664435628, ""4.0"": 0.7322158085332939}, ""pedestrian"": {""0.5"": 0.14529693098459875, ""1.0"": 0.48586716494600257, ""2.0"": 0.7481914157214838, ""4.0"": 0.8251812643288425}, ""traffic_cone"": {""0.5"": 0.4474265388387055, ""1.0"": 0.6694262256503126, ""2.0"": 0.7736096686684092, ""4.0"": 0.7900153344153698}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6064405684640797, ""1.0"": 0.7782010818849717, ""2.0"": 0.8668154721466477, ""4.0"": 0.8720176398827708}}"
B0,3,clean_no_corruption,4441,7038,3349,3689,1092,0.7541094348119792,0.4758454106280193,0.5275635250071493,0.18005202215894134,0,0,nan,0,0,nan,nan,0.0,0,0,0,nan,0,0,"{""barrier"": 0.0, ""bicycle"": 0.24938910440249576, ""bus"": 0.596216229309618, ""car"": 0.7146190306332516, ""construction_vehicle"": 0.0, ""motorcycle"": 0.5973323557563488, ""pedestrian"": 0.576614021578352, ""traffic_cone"": 0.7082094175447509, ""trailer"": 0.0, ""truck"": 0.8046662135110243}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.0610328442429468, ""1.0"": 0.23581444789912825, ""2.0"": 0.34465015579536984, ""4.0"": 0.35605896967253814}, ""bus"": {""0.5"": 0.01364514836473901, ""1.0"": 0.6857914385399893, ""2.0"": 0.6857914385399893, ""4.0"": 0.9996368917937548}, ""car"": {""0.5"": 0.41224217660009865, ""1.0"": 0.7026513138404098, ""2.0"": 0.8461356560038076, ""4.0"": 0.8974469760886901}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.23477373233025714, ""1.0"": 0.5514791092365978, ""2.0"": 0.767923104114623, ""4.0"": 0.8351534773439172}, ""pedestrian"": {""0.5"": 0.17655947182931492, ""1.0"": 0.4951411338666726, ""2.0"": 0.7798091107001872, ""4.0"": 0.8549463699172328}, ""traffic_cone"": {""0.5"": 0.416070915019982, ""1.0"": 0.7599986454367601, ""2.0"": 0.8274954749075102, ""4.0"": 0.8292726348147512}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6846890314610612, ""1.0"": 0.7880854945776656, ""2.0"": 0.8729451640026852, ""4.0"": 0.8729451640026852}}"
B0,3,camera_crash_back_5f,4441,7046,3353,3693,1088,0.755010132852961,0.47587283565143346,0.5290711348727689,0.17980755597584377,0,0,nan,0,0,nan,nan,0.0,0,0,0,0.0,2,0,"{""barrier"": 0.0, ""bicycle"": 0.2675747207333463, ""bus"": 0.4605380242089889, ""car"": 0.7143431509940356, ""construction_vehicle"": 0.0, ""motorcycle"": 0.6152394146047541, ""pedestrian"": 0.5765711794083133, ""traffic_cone"": 0.7126024296193253, ""trailer"": 0.0, ""truck"": 0.7983779950254277}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06431947339354746, ""1.0"": 0.24317346006808013, ""2.0"": 0.37600452370285703, ""4.0"": 0.38680142576890064}, ""bus"": {""0.5"": 0.0158031746031746, ""1.0"": 0.2987381572713044, ""2.0"": 0.5286395715458386, ""4.0"": 0.998971193415638}, ""car"": {""0.5"": 0.40872390234292044, ""1.0"": 0.7054197357460701, ""2.0"": 0.8454023635749534, ""4.0"": 0.8978266023121985}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.2560702871311963, ""1.0"": 0.6097631281743692, ""2.0"": 0.7648767991222355, ""4.0"": 0.8302474439912154}, ""pedestrian"": {""0.5"": 0.17833169718106404, ""1.0"": 0.5013967682984698, ""2.0"": 0.7762035154374252, ""4.0"": 0.8503527367162943}, ""traffic_cone"": {""0.5"": 0.4537249273976987, ""1.0"": 0.7448906978523607, ""2.0"": 0.8247842064430124, ""4.0"": 0.8270098867842289}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6665104981112093, ""1.0"": 0.7959595044281488, ""2.0"": 0.8649022501759228, ""4.0"": 0.8661397273864296}}"
B0,3,camera_crash_back_10f,4441,7076,3350,3726,1091,0.7543346093222247,0.4734313171283211,0.5337775061715324,0.18495577243333347,0,0,nan,0,0,nan,nan,0.0,0,0,0,0.0,2,0,"{""barrier"": 0.0, ""bicycle"": 0.2915161638067939, ""bus"": 0.4023877778615591, ""car"": 0.7128355124552209, ""construction_vehicle"": 0.0, ""motorcycle"": 0.601736107232616, ""pedestrian"": 0.5661364910674754, ""traffic_cone"": 0.7285170124631433, ""trailer"": 0.0, ""truck"": 0.7819983398252581}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.07122046563053343, ""1.0"": 0.2722383992730902, ""2.0"": 0.40519763200388126, ""4.0"": 0.41740815831967065}, ""bus"": {""0.5"": 0.02172552918166953, ""1.0"": 0.36637802613296544, ""2.0"": 0.420707113233788, ""4.0"": 0.8007404428978135}, ""car"": {""0.5"": 0.4098464044974282, ""1.0"": 0.7046715976954648, ""2.0"": 0.8430904123063175, ""4.0"": 0.8937336353216732}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.24368871309433357, ""1.0"": 0.5761702346001213, ""2.0"": 0.7610915444786175, ""4.0"": 0.8259939367573913}, ""pedestrian"": {""0.5"": 0.16524291862095006, ""1.0"": 0.48281982703495796, ""2.0"": 0.7710820287472969, ""4.0"": 0.8454011898666969}, ""traffic_cone"": {""0.5"": 0.5131901369971157, ""1.0"": 0.7826258772374559, ""2.0"": 0.8087991558593317, ""4.0"": 0.8094528797586698}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6702618418859894, ""1.0"": 0.7373515955452823, ""2.0"": 0.8556585673975664, ""4.0"": 0.8647213544721944}}"
B0,3,compound_fog_crash_10f,4441,7050,3269,3781,1172,0.7360954739923441,0.46368794326241136,0.5541948180386356,0.18778029676093475,0,0,nan,0,0,nan,nan,0.0,0,0,0,1.0,2,0,"{""barrier"": 0.0, ""bicycle"": 0.2664787953791929, ""bus"": 0.4015469679046413, ""car"": 0.6939604712342045, ""construction_vehicle"": 0.0, ""motorcycle"": 0.4841768617840567, ""pedestrian"": 0.5466563428102591, ""traffic_cone"": 0.6621357735080123, ""trailer"": 0.0, ""truck"": 0.7907892746907009}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06824954195324565, ""1.0"": 0.232405169045982, ""2.0"": 0.3786343182341193, ""4.0"": 0.3866261522834247}, ""bus"": {""0.5"": 0.02160235605849641, ""1.0"": 0.3689287007669734, ""2.0"": 0.4193329102762517, ""4.0"": 0.7963239045168435}, ""car"": {""0.5"": 0.38389526814283415, ""1.0"": 0.6676480114569463, ""2.0"": 0.831784416818741, ""4.0"": 0.8925141885182962}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.18129129143789902, ""1.0"": 0.4119445392434128, ""2.0"": 0.5923499391641681, ""4.0"": 0.751121677290747}, ""pedestrian"": {""0.5"": 0.14076277522556233, ""1.0"": 0.4568569381097156, ""2.0"": 0.7503668385988463, ""4.0"": 0.8386388193069119}, ""traffic_cone"": {""0.5"": 0.42463694976694355, ""1.0"": 0.6672956597679315, ""2.0"": 0.7698952869068226, ""4.0"": 0.7867151975903517}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6613503489415714, ""1.0"": 0.756800459148763, ""2.0"": 0.8688821816019627, ""4.0"": 0.8761241090705069}}"
B0,6,clean_no_corruption,4441,6958,3333,3625,1108,0.7505066426480522,0.4790169588962345,0.5375156221286452,0.1770153822640753,0,0,nan,0,0,nan,nan,0.0,0,0,0,nan,0,0,"{""barrier"": 0.0, ""bicycle"": 0.17946534256465121, ""bus"": 0.6013879918222904, ""car"": 0.7047225562979968, ""construction_vehicle"": 0.0, ""motorcycle"": 0.570517129199899, ""pedestrian"": 0.5807781032233105, ""traffic_cone"": 0.7088033353883103, ""trailer"": 0.0, ""truck"": 0.7894062468616229}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.035698998108535274, ""1.0"": 0.11385043291426551, ""2.0"": 0.27924867606774095, ""4.0"": 0.28906326316806313}, ""bus"": {""0.5"": 0.03433219841542854, ""1.0"": 0.6857914385399893, ""2.0"": 0.6857914385399893, ""4.0"": 0.9996368917937548}, ""car"": {""0.5"": 0.3976106597363377, ""1.0"": 0.684553618506617, ""2.0"": 0.8408614269640533, ""4.0"": 0.8958645199849793}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.2057975448290109, ""1.0"": 0.5160177546570373, ""2.0"": 0.745540401251649, ""4.0"": 0.8147128160618992}, ""pedestrian"": {""0.5"": 0.1889865674592338, ""1.0"": 0.5011103432359489, ""2.0"": 0.7832374759854942, ""4.0"": 0.8497780262125648}, ""traffic_cone"": {""0.5"": 0.4288710662551083, ""1.0"": 0.7593931425867004, ""2.0"": 0.8234745663557163, ""4.0"": 0.8234745663557163}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6316365668215392, ""1.0"": 0.782284801112165, ""2.0"": 0.8718237676133129, ""4.0"": 0.8718798518994743}}"
B0,6,camera_crash_back_5f,4441,7004,3324,3680,1117,0.7484800720558433,0.47458595088520844,0.5388223085247459,0.1782700628310761,0,0,nan,0,0,nan,nan,0.0,0,0,0,0.0,2,0,"{""barrier"": 0.0, ""bicycle"": 0.20507209912599528, ""bus"": 0.4573543354349815, ""car"": 0.7020131155018194, ""construction_vehicle"": 0.0, ""motorcycle"": 0.5868054471208273, ""pedestrian"": 0.5720051240192152, ""traffic_cone"": 0.6977545162220323, ""trailer"": 0.0, ""truck"": 0.7984118647510756}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.03923075472542661, ""1.0"": 0.14651521537057258, ""2.0"": 0.3124546550252865, ""4.0"": 0.3220877713826954}, ""bus"": {""0.5"": 0.02517379715418931, ""1.0"": 0.2884661129575934, ""2.0"": 0.5168062382125054, ""4.0"": 0.998971193415638}, ""car"": {""0.5"": 0.3897417120228725, ""1.0"": 0.6819293469766486, ""2.0"": 0.8407815275698551, ""4.0"": 0.8955998754379018}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.23799961896396687, ""1.0"": 0.5598249496513669, ""2.0"": 0.7318395447228424, ""4.0"": 0.8175576751451328}, ""pedestrian"": {""0.5"": 0.17327711066889975, ""1.0"": 0.4919310927917963, ""2.0"": 0.7748370684015998, ""4.0"": 0.847975224214565}, ""traffic_cone"": {""0.5"": 0.42439642019545937, ""1.0"": 0.745595045190085, ""2.0"": 0.8105132997512926, ""4.0"": 0.8105132997512926}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6497213644521898, ""1.0"": 0.7992429242811527, ""2.0"": 0.8719827758942967, ""4.0"": 0.8727003943766632}}"
B0,6,camera_crash_back_10f,4441,7009,3326,3683,1115,0.7489304210763341,0.4745327436153517,0.5457812211468486,0.18376503415434972,0,0,nan,0,0,nan,nan,0.0,0,0,0,0.0,2,0,"{""barrier"": 0.0, ""bicycle"": 0.2106735840756725, ""bus"": 0.40330400921987625, ""car"": 0.7001881769033889, ""construction_vehicle"": 0.0, ""motorcycle"": 0.5931034653702101, ""pedestrian"": 0.5673173141616376, ""traffic_cone"": 0.724447868031848, ""trailer"": 0.0, ""truck"": 0.775621864136631}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.03775567800342098, ""1.0"": 0.14748940245156653, ""2.0"": 0.32350330357334434, ""4.0"": 0.33394595227435825}, ""bus"": {""0.5"": 0.019504635877442895, ""1.0"": 0.3453265694526015, ""2.0"": 0.45085208774267943, ""4.0"": 0.7975327438067812}, ""car"": {""0.5"": 0.3859407242034986, ""1.0"": 0.6854209821114119, ""2.0"": 0.8380132226914729, ""4.0"": 0.8913777786071718}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.23766270942168274, ""1.0"": 0.5518198567893435, ""2.0"": 0.7529017497711245, ""4.0"": 0.8300295454986895}, ""pedestrian"": {""0.5"": 0.16856513770530498, ""1.0"": 0.48567015434260163, ""2.0"": 0.7690081445353132, ""4.0"": 0.8460258200633303}, ""traffic_cone"": {""0.5"": 0.5157547736487292, ""1.0"": 0.7852098231105691, ""2.0"": 0.7984134376840469, ""4.0"": 0.7984134376840469}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6626836080693954, ""1.0"": 0.7203452677596861, ""2.0"": 0.8566776831435657, ""4.0"": 0.8627808975738767}}"
B0,6,compound_fog_crash_10f,4441,6995,3229,3766,1212,0.7270884935825265,0.4616154395997141,0.5657082752189897,0.17651240510333727,0,0,nan,0,0,nan,nan,0.0,0,0,0,0.0,2,0,"{""barrier"": 0.0, ""bicycle"": 0.19818016477750455, ""bus"": 0.394353226716281, ""car"": 0.6811332238421892, ""construction_vehicle"": 0.0, ""motorcycle"": 0.45891655596776537, ""pedestrian"": 0.5331194827343937, ""traffic_cone"": 0.648206910739858, ""trailer"": 0.0, ""truck"": 0.7709287415545079}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.03481109643201147, ""1.0"": 0.13516389791629105, ""2.0"": 0.30637722152538266, ""4.0"": 0.31636844323633306}, ""bus"": {""0.5"": 0.009316841486432128, ""1.0"": 0.3602342797826974, ""2.0"": 0.41408341607748217, ""4.0"": 0.7937783695185122}, ""car"": {""0.5"": 0.37667813546008394, ""1.0"": 0.6453139627470086, ""2.0"": 0.8170451537122337, ""4.0"": 0.8854956434494309}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.1992493609787311, ""1.0"": 0.35234968054018545, ""2.0"": 0.5671737935368604, ""4.0"": 0.7168933888152845}, ""pedestrian"": {""0.5"": 0.12240593810342891, ""1.0"": 0.42860733020382596, ""2.0"": 0.7447993266411025, ""4.0"": 0.8366653359892172}, ""traffic_cone"": {""0.5"": 0.4271181713398736, ""1.0"": 0.6266573130209633, ""2.0"": 0.7492903322529192, ""4.0"": 0.789761826345676}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6268392808491615, ""1.0"": 0.7197781210888258, ""2.0"": 0.8683512759531223, ""4.0"": 0.8687462883269219}}"
B0,12,clean_no_corruption,4441,6962,3353,3609,1088,0.755010132852961,0.48161447859810397,0.5528903152398903,0.1793120554208283,0,0,nan,0,0,nan,nan,0.0,0,0,0,nan,0,0,"{""barrier"": 0.0, ""bicycle"": 0.1828641698399288, ""bus"": 0.6116157008556946, ""car"": 0.7186069853237808, ""construction_vehicle"": 0.0, ""motorcycle"": 0.5756269703972677, ""pedestrian"": 0.5676982234269622, ""traffic_cone"": 0.7277558615491613, ""trailer"": 0.0, ""truck"": 0.8060263332053054}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.025268226770723243, ""1.0"": 0.09144392198547349, ""2.0"": 0.3029808817502879, ""4.0"": 0.3117636488532305}, ""bus"": {""0.5"": 0.03723146718457886, ""1.0"": 0.6873722222222224, ""2.0"": 0.7222222222222223, ""4.0"": 0.9996368917937548}, ""car"": {""0.5"": 0.4282123210930207, ""1.0"": 0.6984603424079873, ""2.0"": 0.8441670112118931, ""4.0"": 0.9035882665822219}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.21945229439172903, ""1.0"": 0.5093944856759677, ""2.0"": 0.7463589044418196, ""4.0"": 0.8273021970795544}, ""pedestrian"": {""0.5"": 0.15497043801311425, ""1.0"": 0.473203723854079, ""2.0"": 0.782590969431373, ""4.0"": 0.8600277624092826}, ""traffic_cone"": {""0.5"": 0.44841523510973746, ""1.0"": 0.8109813810615742, ""2.0"": 0.8258134150126667, ""4.0"": 0.8258134150126667}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.68666540928813, ""1.0"": 0.8303364756665699, ""2.0"": 0.8473953448992492, ""4.0"": 0.8597081029672724}}"
B0,12,camera_crash_back_5f,4441,6948,3352,3596,1089,0.7547849583427156,0.48244099021301096,0.5605133069366975,0.18092036441236392,0,0,nan,0,0,nan,nan,0.0,0,0,0,0.0,2,0,"{""barrier"": 0.0, ""bicycle"": 0.19293350983070479, ""bus"": 0.46971044475821605, ""car"": 0.7131324361239572, ""construction_vehicle"": 0.0, ""motorcycle"": 0.5958742047131297, ""pedestrian"": 0.5654814752018353, ""traffic_cone"": 0.7071094564140912, ""trailer"": 0.0, ""truck"": 0.8058319285789421}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.024995999636034757, ""1.0"": 0.08890459184165003, ""2.0"": 0.3245274077531823, ""4.0"": 0.333306040091952}, ""bus"": {""0.5"": 0.017301875684228626, ""1.0"": 0.2994653552088193, ""2.0"": 0.5634092161411507, ""4.0"": 0.9986653319986656}, ""car"": {""0.5"": 0.4128196003715823, ""1.0"": 0.6970075429856912, ""2.0"": 0.845811076501366, ""4.0"": 0.896891524637189}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.22897364886907187, ""1.0"": 0.5813954248445965, ""2.0"": 0.7454466234919435, ""4.0"": 0.8276811216469069}, ""pedestrian"": {""0.5"": 0.13807381500457544, ""1.0"": 0.4811351001536523, ""2.0"": 0.7881380935017516, ""4.0"": 0.854578892147362}, ""traffic_cone"": {""0.5"": 0.43251730950430745, ""1.0"": 0.7897535763609819, ""2.0"": 0.8030834698955378, ""4.0"": 0.8030834698955378}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6767915439203295, ""1.0"": 0.8216776004007729, ""2.0"": 0.8584239467203764, ""4.0"": 0.8664346232742897}}"
